Time,Red_light,IR_light,SpO2,SpO2Valid
1744342575.3669178,33.0,552.0,58.0,1.0
1744342575.442773,36.0,928.0,58.0,1.0
1744342575.5640824,28.0,91.0,58.0,1.0
1744342575.6523206,29.0,32.0,58.0,1.0
1744342575.7635765,31.0,33.0,58.0,1.0
1744342575.8516006,34.0,34.0,58.0,1.0
1744342575.970901,31.0,28.0,58.0,1.0
1744342576.04732,31.0,39.0,58.0,1.0
1744342576.1710448,21.0,34.0,58.0,1.0
1744342576.2505977,22.0,31.0,58.0,1.0
1744342576.371645,25.0,42.0,58.0,1.0
1744342576.451721,21.0,35.0,58.0,1.0
1744342576.56476,19.0,35.0,58.0,1.0
1744342576.6441202,30.0,31.0,58.0,1.0
1744342576.7662995,32.0,26.0,58.0,1.0
1744342576.8458526,34.0,38.0,58.0,1.0
1744342576.9645844,39.0,28.0,0.0,1.0
1744342577.054579,33.0,35.0,0.0,1.0
1744342577.1650238,20.0,35.0,0.0,1.0
1744342577.252234,24.0,28.0,0.0,1.0
1744342577.3698568,31.0,34.0,0.0,1.0
1744342577.4465826,24.0,34.0,0.0,1.0
1744342577.5673504,37.0,27.0,0.0,1.0
1744342577.652286,30.0,36.0,0.0,1.0
1744342577.771471,15.0,35.0,0.0,1.0
