Time,Red_light,IR_light,SpO2,SpO2Valid,,,,,,,50 point average,,
1744340800,29,31,73,1,,,,,78.82352941,,78.82352941,,
1744340800,30,40,73,1,,,,,79,,79,,
1744340800,29,37,73,1,,,,,79.17647059,,79.17647059,,
1744340800,28,31,73,1,,,,,79.35294118,,79.35294118,,
1744340800,30,35,73,1,,,,,79.52941176,,79.52941176,,
1744340801,38,31,73,1,,,,,79.70588235,,79.70588235,,
1744340801,27,33,73,1,,,,,79.88235294,,79.88235294,,
1744340801,28,41,73,1,,,,,80.05882353,,80.05882353,,
1744340801,24,33,73,1,,,,,80.23529412,,80.23529412,,
1744340801,24,32,73,1,,,,,80.41176471,,80.41176471,,
1744340801,24,32,73,1,,,,,80.58823529,,80.58823529,,
1744340801,24,27,73,1,,,,,80.76470588,,80.76470588,,
1744340801,1528,34,73,1,,,,,80.94117647,,80.94117647,,
1744340801,872,26,73,1,,,,,81.11764706,,81.11764706,,
1744340801,872,23,73,1,,,,,81.29411765,,81.29411765,,
1744340802,872,23,73,1,,,,,81.47058824,,81.47058824,,
1744340802,533,114,73,1,,,,,81.64705882,,81.64705882,,
1744340802,626,2148,73,1,,,,,81.82352941,,81.82352941,,
1744340802,110,616,82,1,,,,,81.82352941,,81.82352941,,
1744340802,41,616,82,1,,,,,81.64705882,,81.64705882,,
1744340802,33,616,82,1,,,,,81.47058824,,81.47058824,,
1744340802,34,939,82,1,,,,,81.29411765,,81.29411765,,
1744340802,32,506,82,1,,,,,81.11764706,,81.11764706,,
1744340802,31,35,82,1,,,,,80.94117647,,80.94117647,,
1744340802,32,33,82,1,,,,,80.76470588,,80.76470588,,
1744340803,23,36,82,1,,,,,80.58823529,,80.58823529,,
1744340803,26,34,82,1,,,,,80.41176471,,80.41176471,,
1744340803,37,24,82,1,,,,,80.23529412,,80.23529412,,
1744340803,34,37,82,1,,,,,80.05882353,,80.05882353,,
1744340803,33,33,82,1,,,,,79.88235294,,79.88235294,,
1744340803,25,41,82,1,,,,,79.70588235,,79.70588235,,
1744340803,25,32,82,1,,,,,79.52941176,,79.52941176,,
1744340803,22,30,82,1,,,,,79.35294118,,79.35294118,,
1744340803,24,33,82,1,,,,,79.17647059,,79.17647059,,
1744340803,37,37,82,1,,,,,79,,79,,
1744340804,29,35,82,1,,,,,78.82352941,,78.82352941,,
1744340804,29,40,82,1,,,,,78.64705882,,78.64705882,,
1744340804,24,37,82,1,,,,,78.47058824,,78.47058824,,
1744340804,24,32,82,1,,,,,78.29411765,,78.29411765,,
1744340804,34,28,82,1,,,,,78.11764706,,78.11764706,,
1744340804,31,38,82,1,,,,,77.94117647,,77.94117647,,
1744340804,30,34,82,1,,,,,77.76470588,,77.76470588,,
1744340804,18,38,82,1,,,,,77.58823529,,77.58823529,,
1744340804,34,39,82,1,,,,,77.35294118,,77.35294118,,
1744340804,31,38,82,1,,,,,77.11764706,,77.11764706,,
1744340805,30,39,82,1,,,,,76.88235294,,76.88235294,,
1744340805,24,38,82,1,,,,,76.64705882,,76.64705882,,
1744340805,26,39,82,1,,,,,76.41176471,,76.41176471,,
1744340805,22,30,82,1,,,,,76.17647059,,76.17647059,,
1744340805,22,29,82,1,,,,,75.94117647,,75.94117647,,
1744340805,22,34,82,1,,,,,75.70588235,,75.70588235,,
1744340805,1993,31,82,1,,,,,75.47058824,,75.47058824,,
1744340805,1131,35,82,1,,,,,75.23529412,,75.23529412,,
1744340805,1131,35,82,1,,,,,75,,75,,
1744340805,1131,35,82,1,,,,,74.76470588,,74.76470588,,
1744340806,743,569,82,1,,,,,74.52941176,,74.52941176,,
1744340806,751,2146,82,1,,,,,74.29411765,,74.29411765,,
1744340806,41,279,82,1,,,,,74.05882353,,74.05882353,,
1744340806,22,279,82,1,,,,,73.82352941,,73.82352941,,
1744340806,27,27,82,1,,,,,73.58823529,,73.58823529,,
1744340806,32,845,82,1,,,,,73.35294118,,73.35294118,,
1744340806,32,333,82,1,,,,,73.11764706,,73.11764706,,
1744340806,30,34,82,1,,,,,72.88235294,,72.88235294,,
1744340806,32,39,82,1,,,,,72.64705882,,72.64705882,,
1744340806,26,35,82,1,,,,,72.41176471,,72.41176471,,
1744340807,19,36,82,1,,,,,72.17647059,,72.17647059,,
1744340807,25,37,82,1,,,,,71.94117647,,71.94117647,,
1744340807,26,34,82,1,,,,,71.70588235,,71.70588235,,
1744340807,34,30,73,1,,,,,71.52941176,,71.52941176,,
1744340807,34,35,73,1,,,,,71.52941176,,71.52941176,,
1744340807,32,32,73,1,,,,,71.52941176,,71.52941176,,
1744340807,26,33,73,1,,,,,71.52941176,,71.52941176,,
1744340807,28,40,73,1,,,,,71.52941176,,71.52941176,,
1744340807,22,35,73,1,,,,,71.52941176,,71.52941176,,
1744340807,25,31,73,1,,,,,71.52941176,,71.52941176,,
1744340808,40,27,73,1,,,,,71.52941176,,71.52941176,,
1744340808,32,34,73,1,,,,,71.52941176,,71.52941176,,
1744340808,34,36,73,1,,,,,71.52941176,,71.52941176,,
1744340808,20,36,73,1,,,,,71.52941176,,71.52941176,,
1744340808,25,39,73,1,,,,,71.52941176,,71.52941176,,
1744340808,31,28,73,1,,,,,71.52941176,,71.52941176,,
1744340808,31,33,73,1,,,,,71.52941176,,71.52941176,,
1744340808,25,30,73,1,,,,,71.52941176,,71.52941176,,
1744340808,24,34,73,1,,,,,71.52941176,,71.52941176,,
1744340808,33,32,73,1,,,,,71.52941176,,71.52941176,,
1744340809,30,33,73,1,,,,,71.52941176,,71.52941176,,
1744340809,25,36,73,1,,,,,71.52941176,,71.52941176,,
1744340809,25,38,73,1,,,,,71.52941176,,71.52941176,,
1744340809,25,29,73,1,,,,,71.52941176,,71.52941176,,
1744340809,1817,30,73,1,,,,,71.52941176,,71.52941176,,
1744340809,1324,29,73,1,,,,,71.52941176,,71.52941176,,
1744340809,1324,7,73,1,,,,,71.52941176,,71.52941176,,
1744340809,1324,7,73,1,,,,,71.52941176,,71.52941176,,
1744340809,735,626,70,1,,,,,70.7254902,,70.7254902,,
1744340809,663,2096,70,1,,,,,69.98039216,,69.98039216,,
1744340810,26,144,70,1,,,,,69.23529412,,69.23529412,,
1744340810,26,144,70,1,,,,,68.49019608,,68.49019608,,
1744340810,35,188,70,1,,,,,67.74509804,,67.74509804,,
1744340810,38,906,70,1,,,,,67,,67,,
1744340810,34,190,70,1,,,,,66.25490196,,66.25490196,,
1744340810,31,33,70,1,,,,,65.50980392,,65.50980392,,
1744340810,29,32,70,1,,,,,64.76470588,,64.76470588,,
1744340810,25,37,70,1,,,,,64.01960784,,64.01960784,,
1744340810,31,35,70,1,,,,,63.2745098,,63.2745098,,
1744340810,19,36,70,1,,,,,62.52941176,,62.52941176,,
1744340811,22,33,70,1,,,,,61.78431373,,61.78431373,,
1744340811,27,35,70,1,,,,,61.03921569,,61.03921569,,
1744340811,29,33,70,1,,,,,60.29411765,,60.29411765,,
1744340811,32,35,70,1,,,,,59.54901961,,59.54901961,,
1744340811,27,35,70,1,,,,,58.80392157,,58.80392157,,
1744340811,22,36,70,1,,,,,58.05882353,,58.05882353,,
1744340811,21,35,70,1,,,,,57.31372549,,57.31372549,,
1744340811,24,36,70,1,,,,,56.56862745,,56.56862745,,
1744340811,29,34,70,1,,,,,55.82352941,,55.82352941,,
1744340811,35,36,70,1,,,,,55.07843137,,55.07843137,,
1744340812,30,29,70,1,,,,,54.33333333,,54.33333333,,
1744340812,34,39,70,1,,,,,53.58823529,,53.58823529,,
1744340812,23,40,70,1,,,,,52.84313725,,52.84313725,,
1744340812,29,34,73,1,,,,,53.11764706,,53.11764706,,
1744340812,30,27,73,1,,,,,53.33333333,,53.33333333,,
1744340812,26,36,73,1,,,,,53.54901961,,53.54901961,,
1744340812,21,33,73,1,,,,,53.76470588,,53.76470588,,
1744340812,25,34,73,1,,,,,53.98039216,,53.98039216,,
1744340812,30,35,73,1,,,,,54.19607843,,54.19607843,,
1744340812,30,37,73,1,,,,,54.41176471,,54.41176471,,
1744340813,30,38,73,1,,,,,54.62745098,,54.62745098,,
1744340813,30,40,73,1,,,,,54.84313725,,54.84313725,,
1744340813,1856,36,73,1,,,,,55.05882353,,55.05882353,,
1744340813,1124,38,73,1,,,,,55.2745098,,55.2745098,,
1744340813,1124,38,73,1,,,,,55.49019608,,55.49019608,,
1744340813,1124,38,73,1,,,,,55.70588235,,55.70588235,,
1744340813,765,826,73,1,,,,,55.92156863,,55.92156863,,
1744340813,607,2053,73,1,,,,,56.1372549,,56.1372549,,
1744340813,33,159,73,1,,,,,56.35294118,,56.35294118,,
1744340813,23,159,73,1,,,,,56.56862745,,56.56862745,,
1744340814,30,111,73,1,,,,,56.78431373,,56.78431373,,
1744340814,27,873,73,1,,,,,57,,57,,
1744340814,23,199,73,1,,,,,57.21568627,,57.21568627,,
1744340814,22,34,73,1,,,,,57.43137255,,57.43137255,,
1744340814,28,35,73,1,,,,,57.64705882,,57.64705882,,
