Time,Red_light,IR_light,SpO2,SpO2Valid,,,,,,,,,50 point average,,
1744341568,29,31,46,1,,,46,,,,,,46,,
1744341568,26,31,46,1,,,46,,,,,,46,,
1744341568,28,32,46,1,,,46,,,,,,46,,
1744341568,28,37,46,1,,,46,,,,,,46,,
1744341568,22,38,46,1,,,46,,,,,,46,,
1744341569,25,35,46,1,,,46,,,,,,46,,
1744341569,28,39,46,1,,,46,,,,,,46,,
1744341569,28,32,46,1,,,46,,,,,,46,,
1744341569,28,36,46,1,,,46,,,,,,46,,
1744341569,1267,25,46,1,,,46.66666667,,,,,,46.66666667,,
1744341569,2934,34,46,1,,,47.33333333,,,,,,47.33333333,,
1744341569,286,35,46,1,,,48,,,,,,48,,
1744341569,286,35,46,1,,,48.66666667,,,,,,48.66666667,,
1744341569,20,35,46,1,,,49.33333333,,,,,,49.33333333,,
1744341569,985,1414,46,1,,,50,,,,,,50,,
1744341570,327,1784,46,1,,,50.66666667,,,,,,50.66666667,,
1744341570,36,149,46,1,,,51.33333333,,,,,,51.33333333,,
1744341570,27,149,46,1,,,52,,,,,,52,,
1744341570,35,94,46,1,,,52.66666667,,,,,,52.66666667,,
1744341570,31,1069,46,1,,,53.33333333,,,,,,53.33333333,,
1744341570,38,302,46,1,,,54,,,,,,54,,
1744341570,37,30,46,1,,,54.66666667,,,,,,54.66666667,,
1744341570,27,36,46,1,,,55.33333333,,,,,,55.33333333,,
1744341570,30,35,46,1,,,56,,,,,,56,,
1744341570,32,36,46,1,,,56.66666667,,,,,,56.66666667,,
1744341571,28,41,46,1,,,57.33333333,,,,,,57.33333333,,
1744341571,20,35,46,1,,,58,,,,,,58,,
1744341571,24,36,46,1,,,58.66666667,,,,,,58.66666667,,
1744341571,29,29,46,1,,,59.33333333,,,,,,59.33333333,,
1744341571,31,36,46,1,,,60,,,,,,60,,
1744341571,28,32,46,1,,,60.66666667,,,,,,60.66666667,,
1744341571,30,34,46,1,,,61.33333333,,,,,,61.33333333,,
1744341571,35,35,46,1,,,62,,,,,,62,,
1744341571,25,39,46,1,,,62.66666667,,,,,,62.66666667,,
1744341571,23,35,46,1,,,63.56862745,,,,,,63.56862745,,
1744341572,33,28,46,1,,,64.47058824,,,,,,64.47058824,,
1744341572,26,36,46,1,,,65.37254902,,,,,,65.37254902,,
1744341572,29,33,46,1,,,66.2745098,,,,,,66.2745098,,
1744341572,28,37,46,1,,,67.17647059,,,,,,67.17647059,,
1744341572,19,32,46,1,,,68.07843137,,,,,,68.07843137,,
1744341572,25,37,46,1,,,68.98039216,,,,,,68.98039216,,
1744341572,30,31,46,1,,,69.88235294,,,,,,69.88235294,,
1744341572,29,32,46,1,,,70.78431373,,,,,,70.78431373,,
1744341572,27,36,46,1,,,71.68627451,,,,,,71.68627451,,
1744341572,30,35,46,1,,,72.58823529,,,,,,72.58823529,,
1744341573,33,36,46,1,,,73.49019608,,,,,,73.49019608,,
1744341573,25,32,46,1,,,74.39215686,,,,,,74.39215686,,
1744341573,25,36,46,1,,,75.29411765,,,,,,75.29411765,,
1744341573,25,33,46,1,,,76.19607843,,,,,,76.19607843,,
1744341573,1685,31,46,1,,,77.09803922,,,,,,77.09803922,,
1744341573,2722,36,46,1,,,78,,,,,,78,,
1744341573,56,37,46,1,,,78.90196078,,,,,,78.90196078,,
1744341573,56,37,46,1,,,79.80392157,,,,,,79.80392157,,
1744341573,199,37,46,1,,,80.70588235,,,,,,80.70588235,,
1744341573,1081,2087,46,1,,,81.60784314,,,,,,81.60784314,,
1744341574,210,1266,46,1,,,82.50980392,,,,,,82.50980392,,
1744341574,43,12,46,1,,,83.41176471,,,,,,83.41176471,,
1744341574,41,12,46,1,,,84.31372549,,,,,,84.31372549,,
1744341574,37,459,46,1,,,85.21568627,,,,,,85.21568627,,
1744341581,24,4,80,1,,,86.01960784,,,,,,86.01960784,,
1744341582,31,4,80,1,,,86.15686275,,,,,,86.15686275,,
1744341582,23,337,80,1,,,86.29411765,,,,,,86.29411765,,
1744341582,27,910,80,1,,,86.43137255,,,,,,86.43137255,,
1744341582,26,197,80,1,,,86.56862745,,,,,,86.56862745,,
1744341582,20,39,80,1,,,86.70588235,,,,,,86.70588235,,
1744341582,24,32,80,1,,,86.84313725,,,,,,86.84313725,,
1744341582,27,36,80,1,,,86.98039216,,,,,,86.98039216,,
1744341582,27,29,80,1,,,87.11764706,,,,,,87.11764706,,
1744341582,36,30,80,1,,,87.25490196,,,,,,87.25490196,,
1744341582,34,28,80,1,,,87.39215686,,,,,,87.39215686,,
1744341583,32,30,80,1,,,87.52941176,,,,,,87.52941176,,
1744341583,31,38,80,1,,,87.66666667,,,,,,87.66666667,,
1744341583,29,39,80,1,,,87.80392157,,,,,,87.80392157,,
1744341583,28,42,80,1,,,87.94117647,,,,,,87.94117647,,
1744341583,23,34,80,1,,,88.07843137,,,,,,88.07843137,,
1744341583,25,25,80,1,,,88.21568627,,,,,,88.21568627,,
1744341583,29,34,80,1,,,88.35294118,,,,,,88.35294118,,
1744341583,33,35,80,1,,,88.49019608,,,,,,88.49019608,,
1744341583,27,27,80,1,,,88.62745098,,,,,,88.62745098,,
1744341583,25,32,80,1,,,88.76470588,,,,,,88.76470588,,
1744341584,29,36,80,1,,,88.90196078,,,,,,88.90196078,,
1744341584,25,37,80,1,,,89.03921569,,,,,,89.03921569,,
1744341584,19,39,80,1,,,89.17647059,,,,,,89.17647059,,
1744341584,28,41,80,1,,,89.31372549,,,,,,89.31372549,,
1744341584,31,34,92,1,,,89.21568627,,,,,,89.21568627,,
1744341584,31,34,92,1,,,88.88235294,,,,,,88.88235294,,
1744341584,29,34,92,1,,,88.54901961,,,,,,88.54901961,,
1744341584,21,37,92,1,,,88.21568627,,,,,,88.21568627,,
1744341584,24,35,92,1,,,87.88235294,,,,,,87.88235294,,
1744341584,23,37,92,1,,,87.54901961,,,,,,87.54901961,,
1744341585,23,34,92,1,,,87.21568627,,,,,,87.21568627,,
1744341585,23,34,92,1,,,86.88235294,,,,,,86.88235294,,
1744341585,1847,35,92,1,,,86.54901961,,,,,,86.54901961,,
1744341585,2787,33,92,1,,,86.21568627,,,,,,86.21568627,,
1744341585,77,31,92,1,,,85.88235294,,,,,,85.88235294,,
1744341585,77,31,92,1,,,85.54901961,,,,,,85.54901961,,
1744341585,147,31,92,1,,,85.21568627,,,,,,85.21568627,,
1744341585,1044,1928,92,1,,,84.88235294,,,,,,84.88235294,,
1744341585,255,1569,92,1,,,84.54901961,,,,,,84.54901961,,
1744341585,33,79,92,1,,,84.21568627,,,,,,84.21568627,,
1744341586,36,79,92,1,,,83.88235294,,,,,,83.88235294,,
1744341586,22,227,92,1,,,83.54901961,,,,,,83.54901961,,
1744341586,20,949,92,1,,,83.21568627,,,,,,83.21568627,,
1744341586,21,210,92,1,,,82.88235294,,,,,,82.88235294,,
1744341586,28,39,92,1,,,82.54901961,,,,,,82.54901961,,
1744341586,23,34,92,1,,,82.21568627,,,,,,82.21568627,,
1744341586,27,28,92,1,,,81.88235294,,,,,,81.88235294,,
1744341586,25,28,92,1,,,81.54901961,,,,,,81.54901961,,
1744341586,38,36,92,1,,,81.21568627,,,,,,81.21568627,,
1744341586,23,34,87,1,,,80.88235294,,,,,,80.88235294,,
1744341587,28,31,87,1,,,80.64705882,,,,,,80.64705882,,
1744341587,24,26,87,1,,,80.41176471,,,,,,80.41176471,,
1744341587,31,35,87,1,,,80.17647059,,,,,,80.17647059,,
1744341587,28,36,87,1,,,79.94117647,,,,,,79.94117647,,
1744341587,30,33,87,1,,,79.70588235,,,,,,79.70588235,,
1744341587,23,39,87,1,,,79.47058824,,,,,,79.47058824,,
1744341587,25,35,87,1,,,79.23529412,,,,,,79.23529412,,
1744341587,29,38,87,1,,,79,,,,,,79,,
1744341587,27,28,87,1,,,78.76470588,,,,,,78.76470588,,
1744341587,29,25,87,1,,,78.52941176,,,,,,78.52941176,,
1744341588,36,41,87,1,,,78.29411765,,,,,,78.29411765,,
1744341588,23,37,87,1,,,78.05882353,,,,,,78.05882353,,
1744341588,23,38,87,1,,,77.82352941,,,,,,77.82352941,,
1744341588,23,41,87,1,,,77.58823529,,,,,,77.58823529,,
1744341588,24,33,87,1,,,77.35294118,,,,,,77.35294118,,
1744341588,23,25,87,1,,,77.11764706,,,,,,77.11764706,,
1744341588,26,35,87,1,,,76.88235294,,,,,,76.88235294,,
1744341588,34,34,87,1,,,76.64705882,,,,,,76.64705882,,
1744341588,33,36,87,1,,,76.41176471,,,,,,76.41176471,,
1744341588,24,36,87,1,,,76.17647059,,,,,,76.17647059,,
1744341589,24,36,87,1,,,75.94117647,,,,,,75.94117647,,
1744341589,24,36,87,1,,,75.70588235,,,,,,75.70588235,,
1744341589,1311,35,87,1,,,75.47058824,,,,,,75.47058824,,
1744341589,2942,35,87,1,,,75.23529412,,,,,,75.23529412,,
1744341589,242,33,75,1,,,74.2745098,,,,,,74.2745098,,
1744341589,242,33,75,1,,,73.54901961,,,,,,73.54901961,,
1744341589,37,33,75,1,,,72.82352941,,,,,,72.82352941,,
1744341589,953,1486,75,1,,,72.09803922,,,,,,72.09803922,,
1744341589,318,1821,75,1,,,71.37254902,,,,,,71.37254902,,
1744341589,33,157,75,1,,,70.64705882,,,,,,70.64705882,,
1744341590,28,157,75,1,,,69.92156863,,,,,,69.92156863,,
1744341590,35,60,75,1,,,69.19607843,,,,,,69.19607843,,
1744341590,30,1056,75,1,,,68.47058824,,,,,,68.47058824,,
1744341590,36,317,75,1,,,67.74509804,,,,,,67.74509804,,
1744341590,33,31,75,1,,,67.01960784,,,,,,67.01960784,,
1744341590,27,34,75,1,,,66.29411765,,,,,,66.29411765,,
1744341590,21,40,75,1,,,65.56862745,,,,,,65.56862745,,
1744341590,22,37,75,1,,,64.84313725,,,,,,64.84313725,,
1744341590,24,30,75,1,,,64.11764706,,,,,,64.11764706,,
1744341590,26,30,75,1,,,63.39215686,,,,,,63.39215686,,
1744341591,32,35,75,1,,,62.66666667,,,,,,62.66666667,,
1744341591,30,34,75,1,,,61.94117647,,,,,,61.94117647,,
1744341591,26,34,75,1,,,61.21568627,,,,,,61.21568627,,
1744341591,30,35,75,1,,,60.49019608,,,,,,60.49019608,,
1744341591,29,35,75,1,,,59.76470588,,,,,,59.76470588,,
1744341591,27,31,75,1,,,59.03921569,,,,,,59.03921569,,
1744341591,27,36,75,1,,,58.31372549,,,,,,58.31372549,,
1744341591,29,36,75,1,,,57.58823529,,,,,,57.58823529,,
1744341591,39,23,75,1,,,56.8627451,,,,,,56.8627451,,
1744341591,37,27,75,1,,,56.96078431,,,,,,56.96078431,,
1744341592,22,29,75,1,,,57.05882353,,,,,,57.05882353,,
1744341592,21,35,75,1,,,57.15686275,,,,,,57.15686275,,
1744341592,36,36,75,1,,,57.25490196,,,,,,57.25490196,,
1744341592,31,30,75,1,,,57.35294118,,,,,,57.35294118,,
1744341592,32,39,75,1,,,57.45098039,,,,,,57.45098039,,
1744341592,28,41,75,1,,,57.54901961,,,,,,57.54901961,,
1744341592,22,37,75,1,,,57.64705882,,,,,,57.64705882,,
1744341592,30,37,75,1,,,57.74509804,,,,,,57.74509804,,
1744341592,32,33,75,1,,,57.84313725,,,,,,57.84313725,,
