Time,Red_light,IR_light,SpO2,SpO2Valid,,,,,50 point average,,
1744344048,190,36,62,1,,,25.01960784,,25.01960784,,
1744344048,190,36,62,1,,,24.21568627,,24.21568627,,
1744344048,128,36,62,1,,,23.41176471,,23.41176471,,
1744344048,931,2062,62,1,,,22.60784314,,22.60784314,,
1744344048,177,1428,62,1,,,21.80392157,,21.80392157,,
1744344048,31,1428,21,1,,,21.88235294,,21.88235294,,
1744344048,26,1428,21,1,,,22.76470588,,22.76470588,,
1744344048,31,523,21,1,,,23.64705882,,23.64705882,,
1744344048,23,545,21,1,,,24.52941176,,24.52941176,,
1744344048,29,82,21,1,,,25.41176471,,25.41176471,,
1744344048,23,33,21,1,,,26.29411765,,26.29411765,,
1744344049,27,31,21,1,,,27.17647059,,27.17647059,,
1744344049,29,38,21,1,,,28.05882353,,28.05882353,,
1744344049,30,32,21,1,,,28.94117647,,28.94117647,,
1744344049,32,39,21,1,,,29.82352941,,29.82352941,,
1744344049,23,38,21,1,,,30.70588235,,30.70588235,,
1744344049,19,33,21,1,,,31.58823529,,31.58823529,,
1744344049,29,32,21,1,,,32.47058824,,32.47058824,,
1744344049,35,34,21,1,,,33.35294118,,33.35294118,,
1744344049,31,33,21,1,,,34.23529412,,34.23529412,,
1744344049,29,42,21,1,,,35.11764706,,35.11764706,,
1744344050,24,34,21,1,,,36,,36,,
1744344050,25,33,21,1,,,36.88235294,,36.88235294,,
1744344050,27,35,21,1,,,37.76470588,,37.76470588,,
1744344050,34,33,21,1,,,38.64705882,,38.64705882,,
1744344050,31,41,21,1,,,39.52941176,,39.52941176,,
1744344050,26,32,21,1,,,40.41176471,,40.41176471,,
1744344050,22,35,21,1,,,41.29411765,,41.29411765,,
1744344050,25,35,21,1,,,42.17647059,,42.17647059,,
1744344050,24,26,21,1,,,43.05882353,,43.05882353,,
1744344051,29,27,21,1,,,43.68627451,,43.68627451,,
1744344051,27,31,21,1,,,44.31372549,,44.31372549,,
1744344051,29,31,21,1,,,44.94117647,,44.94117647,,
1744344051,25,40,21,1,,,45.56862745,,45.56862745,,
1744344051,25,39,21,1,,,46.19607843,,46.19607843,,
1744344051,25,29,21,1,,,46.82352941,,46.82352941,,
1744344051,25,27,21,1,,,47.45098039,,47.45098039,,
1744344051,2220,35,21,1,,,48.07843137,,48.07843137,,
1744344051,1276,33,21,1,,,48.70588235,,48.70588235,,
1744344051,1276,23,21,1,,,49.33333333,,49.33333333,,
1744344052,1276,23,21,1,,,49.96078431,,49.96078431,,
1744344052,477,102,21,1,,,50.58823529,,50.58823529,,
1744344052,574,2995,21,1,,,51.21568627,,51.21568627,,
1744344052,85,783,21,1,,,51.84313725,,51.84313725,,
1744344052,32,783,21,1,,,52.47058824,,52.47058824,,
1744344052,28,783,21,1,,,53.09803922,,53.09803922,,
1744344052,24,949,21,1,,,53.7254902,,53.7254902,,
1744344052,25,432,21,1,,,54.35294118,,54.35294118,,
1744344052,18,41,21,1,,,54.98039216,,54.98039216,,
1744344052,25,34,21,1,,,55.60784314,,55.60784314,,
1744344053,27,33,21,1,,,56.23529412,,56.23529412,,
1744344053,26,33,21,1,,,56.8627451,,56.8627451,,
1744344053,36,37,21,1,,,57.49019608,,57.49019608,,
1744344053,24,35,21,1,,,58.11764706,,58.11764706,,
1744344053,27,36,21,1,,,58.74509804,,58.74509804,,
1744344056,578,3002,66,1,,,59.58823529,,59.58823529,,
1744344056,85,762,66,1,,,59.54901961,,59.54901961,,
1744344056,29,762,66,1,,,59.50980392,,59.50980392,,
1744344056,44,762,66,1,,,59.47058824,,59.47058824,,
1744344056,33,903,66,1,,,59.43137255,,59.43137255,,
1744344056,37,469,66,1,,,59.39215686,,59.39215686,,
1744344056,32,23,66,1,,,59.35294118,,59.35294118,,
1744344056,33,33,66,1,,,59.31372549,,59.31372549,,
1744344056,38,29,66,1,,,59.2745098,,59.2745098,,
1744344056,33,35,66,1,,,59.23529412,,59.23529412,,
1744344057,29,37,66,1,,,59.19607843,,59.19607843,,
1744344057,23,34,66,1,,,59.15686275,,59.15686275,,
1744344057,23,38,66,1,,,59.11764706,,59.11764706,,
1744344057,20,34,66,1,,,59.07843137,,59.07843137,,
1744344057,24,34,66,1,,,59.03921569,,59.03921569,,
1744344057,27,29,66,1,,,59,,59,,
1744344057,33,35,66,1,,,58.96078431,,58.96078431,,
1744344057,26,29,66,1,,,58.92156863,,58.92156863,,
1744344057,27,38,66,1,,,58.88235294,,58.88235294,,
1744344057,27,30,66,1,,,58.84313725,,58.84313725,,
1744344058,33,28,66,1,,,58.80392157,,58.80392157,,
1744344058,31,38,66,1,,,58.76470588,,58.76470588,,
1744344058,25,33,66,1,,,58.7254902,,58.7254902,,
1744344058,23,38,66,1,,,58.68627451,,58.68627451,,
1744344058,32,35,66,1,,,58.64705882,,58.64705882,,
1744344061,28,29,53,1,,,58.7254902,,58.7254902,,
1744344061,30,32,53,1,,,59.05882353,,59.05882353,,
1744344061,33,34,53,1,,,59.39215686,,59.39215686,,
1744344061,28,32,53,1,,,59.7254902,,59.7254902,,
1744344061,30,39,53,1,,,60.05882353,,60.05882353,,
1744344061,31,38,53,1,,,60.39215686,,60.39215686,,
1744344061,23,38,53,1,,,60.7254902,,60.7254902,,
1744344061,25,40,53,1,,,61.05882353,,61.05882353,,
1744344061,32,28,53,1,,,61.39215686,,61.39215686,,
1744344061,26,35,53,1,,,61.7254902,,61.7254902,,
1744344062,33,38,53,1,,,62.05882353,,62.05882353,,
1744344062,28,34,53,1,,,62.39215686,,62.39215686,,
1744344062,27,32,53,1,,,62.7254902,,62.7254902,,
1744344062,23,41,53,1,,,63.05882353,,63.05882353,,
1744344062,19,35,53,1,,,63.39215686,,63.39215686,,
1744344062,33,33,53,1,,,63.7254902,,63.7254902,,
1744344062,30,34,53,1,,,64.05882353,,64.05882353,,
1744344062,34,37,53,1,,,64.39215686,,64.39215686,,
1744344062,28,36,53,1,,,64.7254902,,64.7254902,,
1744344062,21,31,53,1,,,65.05882353,,65.05882353,,
1744344063,6,32,53,1,,,65.39215686,,65.39215686,,
1744344063,6,27,53,1,,,65.7254902,,65.7254902,,
1744344063,538,37,53,1,,,66.05882353,,66.05882353,,
